product_id,product_name,category,subcategory,cost_price,selling_price
1,Decor Product 0001,Home & Kitchen,Decor,9538.81,13790.53
2,Mobiles Product 0002,Electronics,Mobiles,25850.41,44389.41
3,Skincare Product 0003,Beauty,Skincare,153.85,250.8
4,Accessories Product 0004,Fashion,Accessories,13557.28,17802.36
5,Academic Product 0005,Books,Academic,757.42,1352.72
6,Makeup Product 0006,Beauty,Makeup,236.36,346.48
7,Women Product 0007,Fashion,Women,1824.83,2632.44
8,Sportswear Product 0008,Sports,Sportswear,167.25,227.26
9,Fragrance Product 0009,Beauty,Fragrance,1744.07,3113.79
10,Appliances Product 0010,Home & Kitchen,Appliances,118.86,167.85
11,Women Product 0011,Fashion,Women,5692.62,10334.5
12,Accessories Product 0012,Fashion,Accessories,1587.41,2553.76
13,Footwear Product 0013,Fashion,Footwear,1477.67,2157.45
14,Audio Product 0014,Electronics,Audio,373.25,468.88
15,Audio Product 0015,Electronics,Audio,714.6,1223.25
16,Furniture Product 0016,Home & Kitchen,Furniture,257.02,431.45
17,Laptops Product 0017,Electronics,Laptops,7854.69,10749.58
18,Academic Product 0018,Books,Academic,310.41,476.66
19,Haircare Product 0019,Beauty,Haircare,3876.19,5396.16
20,Haircare Product 0020,Beauty,Haircare,623.67,761.21
21,Women Product 0021,Fashion,Women,5565.57,6816.75
22,Haircare Product 0022,Beauty,Haircare,2236.11,3464.13
23,Fiction Product 0023,Books,Fiction,1204.31,1755.4
24,Decor Product 0024,Home & Kitchen,Decor,5942.34,7481.54
25,Fragrance Product 0025,Beauty,Fragrance,964.92,1678.45
26,Furniture Product 0026,Home & Kitchen,Furniture,11905.78,17713.72
27,Team Sports Product 0027,Sports,Team Sports,6776.28,10393.93
28,Sportswear Product 0028,Sports,Sportswear,2183.41,3467.83
29,Non-Fiction Product 0029,Books,Non-Fiction,20035.18,24479.86
30,Accessories Product 0030,Electronics,Accessories,13840.27,18501.59
31,Appliances Product 0031,Home & Kitchen,Appliances,2158.11,3295.02
32,Laptops Product 0032,Electronics,Laptops,172.75,223.24
33,Footwear Product 0033,Fashion,Footwear,2741.26,4018.2
34,Accessories Product 0034,Fashion,Accessories,928.1,1181.3
